key,en_US,zh_TW,zh_CN,vi_VN,ja_JP,id_ID
mute,Mute,靜音,静音,Tắt tiếng,ミュート,Diam
unmute,Unmute,取消靜音,取消静音,Bật tiếng,ミュート解除,Bunyikan
try_watching_ends,Upgrade to full version,試看結束，升級觀看完整版,试看结束，升级观看完整版,Mở khóa để phát lại đầy đủ,フル再生をアンロック,Tingkatkan ke versi lengkap
unlock_for_full_playback,Upgrade to full version,解鎖後可完整播放,解锁后可完整播放,Mở khóa để phát lại đầy đủ,フル再生をアンロック,Tingkatkan ke versi lengkap
duration,Video length,片長：,片长：,Độ dài video,ビデオの長さ,Panjang video
become_vip,Become VIP,開通VIP,开通VIP,Trở thành VIP,VIPになる,Menjadi VIP
pls_login_to_watch,Please log in to view.,請先登入後觀看。,请先登入后观看。,Vui lòng đăng nhập để xem,ご覧になるにはログインしてください,Silakan masuk untuk melihat
view_details,View details,查看詳情,查看详情,Xem chi tiết,詳細を見る,Lihat detail
activate_vip_for_free,Activate VIP for free,開通 VIP 無限看片,开通 VIP 无限看片,Kích hoạt VIP miễn phí,VIPを無料でアクティブにする,Aktifkan VIP secara gratis
want_to_watch,Want to watch，,看不過癮，,看不过瘾，,Muốn xem,見たい,Ingin menonton，
coins_unlock,coins unlock,金幣解鎖,金币解锁,Mở khóa bằng xu,コインで解除,Koin buka
unlock_now,Unlock now,立即解鎖,立即解锁,Mở khóa ngay,今すぐ解除,Buka sekarang
post,post,貼文,帖子,Bài đăng,投稿,Postingan
coin_wallet,Coins,金幣錢包,金币钱包,,,
purchase_record,,購買記錄,购买记录,,,
privilege_record,,特權紀錄,特权纪录,,,
deposit_record,,存款記錄,存款记录,,,
confirm_delete,,是否刪除,是否删除,,,
confirm_delete_selected,,是否刪除勾選項目,是否删除勾选项目,,,
serial_number_exchange,,序號兌換,序号兑换,,,
enter_serial_number,,請輸入序號,请输入序号,,,
exchange,,兌換,兑换,,,
video_recommended,,推薦,推荐,,,
redeem_record,,兌換記錄,兑换记录,,,
redeem_name,,兌換名稱,兑换名称,,,
redeem_time,,兌換時間,兑换时间,,,
watch_video,,觀看視頻,观看视频,,,
payment_confirmation,,支付確認,支付确认,,,
order_created_payment_pending,,訂單已建立，付款確認中...,订单已建立，付款确认中...,,,
signup,,註冊,注册,,,
warm_hint,,溫馨提示,温馨提示,,,
completed,,已完成,已完成,,,
pending,,確認中,确认中,,,
all,,全部,全部,,,
failed,,失敗,失败,,,
product_name_or_payment_type,,購買商品名稱/支付類型,购买商品名称/支付类型,,,
amount,,金額：,金额：,,,
order_time,,訂單時間：,订单时间：,,,
order_number,,訂單編號：,订单编号：,,,
payment_error,,付款錯誤,付款错误,,,
selected,,已選擇,已选择,,,
please_select_payment_method,,請選擇支付方式,请选择支付方式,,,
no_available_payment_method,,無可用支付方式,无可用支付方式,,,
valid,,有效,有效,,,
expired,,失效,失效,,,
start_time,,開始時間：,开始时间：,,,
valid_period,,有效時間：,有效时间：,,,
enter,Enter,進入,进入,Nhập,入る ,Masuk
vip_member,,VIP會員,VIP会员,,,
valid_until,,效期至：,效期至：,,,
limited_time_offer,,限時特價,限时特价,,,
days_vip_free_video_access,,天VIP 視頻免費看,天VIP 视频免费看,,,
original_price,,原價： $,原价： $,,,
show_only_valid,,只顯示有效,只显示有效,,,
watch_all,,觀看全部,观看全部,,,
current_balance,,當前餘額,当前余额,,,
nickname_must_be_between_6_and_40_characters,,暱稱必須在6到40個字元之間,昵称必须在6到40个字元之间,,,
recommended_services,,推薦服務,推荐服务,,,
